Job Start: Wed Jan 28 06:24:26 PM CST 2026
Node: cn1
Using device: cuda
Loading labeled dataset for Supervised + Physics training...
Dataset Stats: Mean=-0.0837, Std=1.2627
✅ 预训练权重已加载 (匹配 79/79)。
⚠️ 预训练中多余参数数量: 18
🚀 Starting Supervised + Physics Fine-tuning...
Epoch 1: Total Loss=5.1188 | MSE=0.2499
Epoch 2: Total Loss=4.2642 | MSE=0.2059
Epoch 3: Total Loss=3.8606 | MSE=0.1900
Epoch 4: Total Loss=3.7752 | MSE=0.1881
Epoch 5: Total Loss=3.6622 | MSE=0.1802
Epoch 6: Total Loss=3.5119 | MSE=0.1745
Epoch 7: Total Loss=3.3719 | MSE=0.1716
Epoch 8: Total Loss=3.3731 | MSE=0.1704
Epoch 9: Total Loss=3.2684 | MSE=0.1633
Epoch 10: Total Loss=3.2361 | MSE=0.1646
Epoch 11: Total Loss=3.1774 | MSE=0.1630
Epoch 12: Total Loss=3.1957 | MSE=0.1624
Epoch 13: Total Loss=3.1760 | MSE=0.1614
Epoch 14: Total Loss=3.2278 | MSE=0.1654
Epoch 15: Total Loss=3.1667 | MSE=0.1621
Epoch 16: Total Loss=3.1831 | MSE=0.1617
Epoch 17: Total Loss=3.2135 | MSE=0.1640
Epoch 18: Total Loss=3.2421 | MSE=0.1639
Epoch 19: Total Loss=3.2409 | MSE=0.1639
Epoch 20: Total Loss=3.2588 | MSE=0.1667
Epoch 21: Total Loss=3.1836 | MSE=0.1644
Epoch 22: Total Loss=3.2861 | MSE=0.1685
Epoch 23: Total Loss=3.5117 | MSE=0.1783
Epoch 24: Total Loss=3.1997 | MSE=0.1644
Epoch 25: Total Loss=3.2028 | MSE=0.1631
Epoch 26: Total Loss=3.3009 | MSE=0.1683
Epoch 27: Total Loss=3.3135 | MSE=0.1695
Epoch 28: Total Loss=3.2604 | MSE=0.1668
Epoch 29: Total Loss=3.3013 | MSE=0.1683
Epoch 30: Total Loss=3.1698 | MSE=0.1624
Epoch 31: Total Loss=3.3493 | MSE=0.1714
Epoch 32: Total Loss=3.4988 | MSE=0.1785
Epoch 33: Total Loss=3.5078 | MSE=0.1793
Epoch 34: Total Loss=3.4982 | MSE=0.1786
Epoch 35: Total Loss=3.3232 | MSE=0.1705
Epoch 36: Total Loss=3.3384 | MSE=0.1703
Epoch 37: Total Loss=3.5227 | MSE=0.1805
